Active Ingredient,Disease/Use Case,Days Until Expiry,Storage Temperature (C),Dissolution Rate (%),Disintegration Time (minutes),Impurity Level (%),Assay Purity (%),Warning Labels Present,Safe/Not Safe,UPC,Quantity,Manufacturer,Batch Number,Price
Azithromycin,Mental Health,1035,25.71637822,87.14918094,21.62705567,1.352921882,95.94373826,3,Safe,308412000000,214,HealthPlus,BATCH5340,235.34
Clopidogrel,Cholesterol,942,21.59262284,96.78714122,9.053529526,0.382957689,99.19923126,2,Safe,350825000000,285,MediLife,BATCH5009,389.12
Furosemide,Fever,970,17.18808619,98.44302566,18.66468654,0.240134858,97.75036448,1,Safe,826050000000,166,BioCare,BATCH7628,141.65
Gabapentin,Respiratory Infection,953,28.6682865,92.95603501,23.20673915,0.434960381,93.48445409,4,Safe,990058000000,155,HealthPlus,BATCH3169,197.4
Hydrochlorothiazide,Acidity,816,23.67134512,85.99048055,18.90552252,1.294202697,97.77512742,3,Safe,912138000000,139,HealthPlus,BATCH3172,296.01
Warfarin,Thyroid,1075,17.0062075,86.73923941,12.96746391,0.457246427,96.60599099,3,Safe,849980000000,197,CureWell,BATCH6668,308.93
Insulin,Throat Infection,888,24.65080962,96.07703895,12.19803525,0.699086331,93.69388992,1,Safe,316391000000,139,HealthPlus,BATCH7313,59.96
Ranitidine,Heart Health,934,20.57678932,89.65242481,7.950209307,0.267132639,93.41525868,2,Safe,336151000000,190,MediLife,BATCH9315,475.3
Erythromycin,Seizures,936,21.84250495,90.93895527,20.10497627,1.029318985,95.07026659,3,Safe,372588000000,132,MediLife,BATCH9036,363.48
Sildenafil,Seizures,892,19.88393872,96.7935346,13.63728835,0.500821114,98.52172113,2,Safe,662039000000,105,PharmaCorp,BATCH7789,273.07
Naproxen,Autoimmune Disorder,736,26.21339627,90.14865045,23.57031196,0.454774122,93.90215082,2,Safe,317670000000,246,MediLife,BATCH1785,469.91
Morphine,Inflammation,799,15.57769642,87.60281647,14.2753875,1.31341646,99.92979804,4,Safe,187834000000,179,HealthPlus,BATCH7139,247.59
Tramadol,Acidity,961,16.55981358,95.1554284,23.93239207,0.225388428,96.65820151,2,Safe,813022000000,267,MediLife,BATCH7344,491.2
Codeine,Mental Health,1078,28.64478833,94.49467472,16.72776859,0.559649194,95.28412672,3,Safe,666687000000,191,CureWell,BATCH3416,280.53
Pantoprazole,Blood Clot Prevention,998,21.03189496,89.83744764,6.52940647,0.925939092,96.33156933,1,Safe,355822000000,196,PharmaCorp,BATCH9988,101.43
Esomeprazole,Bacterial Infection,979,23.05688616,88.9255288,6.583622218,0.291534501,92.25547842,3,Safe,134428000000,158,HealthPlus,BATCH5154,394.16
Tamsulosin,Blood Clot Prevention,1020,17.10160495,94.69806442,14.07154976,0.840972794,97.88716738,2,Safe,324330000000,158,PharmaCorp,BATCH6619,355.5
Amlodipine,Respiratory Infection,908,22.37636199,92.47376649,15.91235865,0.890664794,92.10617589,2,Safe,457517000000,147,HealthPlus,BATCH2936,397.84
Bisoprolol,Respiratory Infection,769,16.08447281,99.26653654,8.900620293,0.882732915,99.62367297,2,Safe,575381000000,268,CureWell,BATCH4807,478.15
Carvedilol,Pain Relief,750,17.15089205,96.31754811,13.40572017,1.174579787,94.35524762,4,Safe,953023000000,112,PharmaCorp,BATCH8151,399.42
Metoprolol,Bacterial Infection,916,23.04887523,98.04572437,18.53180986,0.959322622,95.22057993,2,Safe,848069000000,206,BioCare,BATCH4236,325.1
Digoxin,Pain Relief,976,18.05304784,99.6879312,23.61472037,0.101656566,93.90270325,3,Safe,982148000000,144,HealthPlus,BATCH3352,435.79
Fluoxetine,Inflammation,908,29.53683026,85.40673649,11.6775822,0.177733374,92.11183336,3,Safe,800862000000,188,BioCare,BATCH2932,352.96
Sertraline,Pain Relief,1040,20.31382624,98.67888917,24.30307984,0.745275469,95.97410708,3,Safe,545626000000,280,PharmaCorp,BATCH9556,233.65
Citalopram,Infection,809,25.04480105,86.72174725,20.01072837,0.38798619,92.39177846,3,Safe,106121000000,269,BioCare,BATCH5916,448.53
Diazepam,Fever,937,16.98382186,86.38113662,6.036480472,1.316205758,97.71462208,3,Safe,672124000000,199,BioCare,BATCH6498,149.86
Lorazepam,Respiratory Infection,773,27.66162149,94.84513713,8.854671574,0.679668461,96.23689865,3,Safe,553410000000,290,PharmaCorp,BATCH1946,371.59
Clonazepam,Inflammation,979,26.72102562,89.44112305,23.91447412,1.229934393,92.49050418,2,Safe,327768000000,254,CureWell,BATCH2439,446.7
Alprazolam,Pain Relief,863,24.95331136,86.78417401,7.539145171,0.528013695,98.52548578,1,Safe,919661000000,265,BioCare,BATCH8730,379.09
Zolpidem,Respiratory Infection,1047,16.65116952,98.63650606,16.64379369,1.495476112,92.00700992,1,Safe,793187000000,287,BioCare,BATCH5857,363.77
Ketoconazole,Throat Infection,827,18.4017296,85.66857001,5.064713363,1.444245759,94.48199245,4,Safe,915729000000,106,CureWell,BATCH1340,388.69
Itraconazole,Infection,969,22.30300101,90.19566419,10.10047853,1.013525572,97.84311985,3,Safe,158958000000,232,BioCare,BATCH1382,259.27
Fluconazole,Inflammation,896,27.21637392,88.04968916,5.158425694,0.345033708,92.13300412,3,Safe,303266000000,144,BioCare,BATCH9491,443.38
Terbinafine,Allergy,830,23.11779537,89.36211877,13.77744898,0.181758324,92.15798426,2,Safe,957149000000,157,BioCare,BATCH1138,141.55
Acetazolamide,Inflammation,919,18.04017823,95.62501544,24.57019903,0.621103383,93.54214126,1,Safe,271131000000,130,MediLife,BATCH1358,107.32
Allopurinol,Diabetes,733,19.17036336,88.02239782,5.958276443,0.314858222,95.82730774,1,Safe,992268000000,122,CureWell,BATCH5931,178.48
Colchicine,Blood Pressure,997,17.70516205,92.95218142,13.95001654,0.486728999,95.33449028,4,Safe,450210000000,269,BioCare,BATCH4456,289.21
Methotrexate,Acidity,1040,23.56865394,95.12967257,13.97548594,0.813611558,97.73790679,1,Safe,325858000000,237,CureWell,BATCH2627,279.75
Hydroxychloroquine,Blood Pressure,904,26.49661713,85.6107208,16.37982639,0.654198217,92.68344332,3,Safe,761276000000,259,HealthPlus,BATCH7626,419.27
Chloroquine,Thyroid,1021,17.75585856,91.55899052,6.46420994,1.223906705,96.15601637,3,Safe,629466000000,206,HealthPlus,BATCH6004,232.06
Cyclophosphamide,Cholesterol,765,25.57416543,87.62452434,10.42515169,0.974564304,97.18738301,2,Safe,273071000000,280,BioCare,BATCH7652,267.95
Tacrolimus,Inflammation,826,15.61618009,87.86281132,23.21231131,1.32768999,92.00496613,3,Safe,160839000000,257,CureWell,BATCH7416,56.02
Cyclosporine,Skin Infection,947,27.67229003,87.66557905,17.22310158,1.485350439,94.6173724,3,Safe,374945000000,138,CureWell,BATCH4170,234.38
Mycophenolate,Thyroid,1073,22.00481308,86.50909661,19.24044683,0.985880559,94.18055302,3,Safe,402466000000,258,CureWell,BATCH4835,341.5
Prednisolone,Diabetes,916,29.96201636,87.09444839,14.07485364,1.26379781,99.06079714,2,Safe,475358000000,181,MediLife,BATCH9017,56.98
Budesonide,Thyroid,782,19.8754342,93.6049085,16.17091804,0.446911184,95.6855287,2,Safe,693560000000,199,HealthPlus,BATCH3151,176.4
Formoterol,Fever,970,24.33719745,87.88872882,18.5181265,0.79179295,92.37120541,3,Safe,446653000000,101,CureWell,BATCH7905,143.58
Salmeterol,Allergy,810,25.3424025,86.06053405,5.254665496,1.492717885,93.1111841,2,Safe,799178000000,176,CureWell,BATCH3834,68.89
Montelukast,Throat Infection,989,26.68344592,97.19097119,20.97394681,0.876716789,92.20003857,1,Safe,240042000000,111,MediLife,BATCH3567,265.67
Cetuximab,Allergy,747,29.23160432,86.91340287,7.574953722,1.432904242,95.07396944,3,Safe,121158000000,138,MediLife,BATCH2307,131.78
Bevacizumab,Thyroid,774,26.97424853,89.04284963,11.2026895,1.298013858,96.60957928,2,Safe,275728000000,293,CureWell,BATCH9848,384.39
Adalimumab,Inflammation,846,16.79422274,95.10180197,12.88670508,1.266231563,97.9946342,1,Safe,679177000000,112,PharmaCorp,BATCH3660,431.57
Infliximab,Skin Infection,1022,29.39975188,85.90982658,20.84240432,0.254239749,95.47600419,4,Safe,406873000000,145,CureWell,BATCH4730,295.51
Etanercept,Pain Relief,860,16.69600083,88.7285256,16.11724849,0.689466406,92.72123972,2,Safe,791900000000,254,CureWell,BATCH7207,491.77
Rituximab,Cancer,1075,25.89810794,93.44010168,21.38360581,1.365613858,95.9707084,1,Safe,303456000000,212,MediLife,BATCH4162,252.72
Imatinib,Seizures,926,23.47816987,88.51097416,16.53398444,0.687613784,93.10620451,2,Safe,747118000000,116,MediLife,BATCH2140,281.02
Dasatinib,Acidity,957,16.58029135,86.6473614,9.916494469,0.134733055,92.70116208,3,Safe,523446000000,203,CureWell,BATCH9458,495.15
Sunitinib,Autoimmune Disorder,1020,22.98441274,92.37382179,10.67778285,1.129381546,99.38331896,3,Safe,543562000000,197,CureWell,BATCH2708,154.2
Erlotinib,Blood Pressure,1034,25.70402738,95.25929445,24.98037293,1.467263926,98.07389181,1,Safe,926278000000,287,CureWell,BATCH4630,474.15
Gefitinib,Heart Health,985,20.42586057,85.59185286,20.00215156,0.137358126,99.00429645,3,Safe,533670000000,291,MediLife,BATCH4211,69.28
Paclitaxel,Fever,901,27.69159136,87.57634162,14.06490381,1.402910039,95.83350601,4,Safe,984114000000,187,CureWell,BATCH7538,250.87
Docetaxel,Heart Health,864,17.8852775,92.43398605,7.74894962,0.161974663,93.63089689,2,Safe,103100000000,208,CureWell,BATCH1475,81.5
Vincristine,Pain Relief,1093,25.05105727,96.37430148,11.33666878,0.877029197,94.16475194,1,Safe,538260000000,262,BioCare,BATCH8684,378.16
Vinblastine,Seizures,862,27.36275608,96.70162197,24.57733413,1.293596599,95.70415102,1,Safe,687168000000,169,PharmaCorp,BATCH2207,323.78
Doxorubicin,Cancer,951,23.53014681,90.17373603,18.56191687,0.823485379,92.60168325,1,Safe,160606000000,257,HealthPlus,BATCH2960,367.99
Cisplatin,Infection,794,24.02569097,94.69037661,13.28921415,1.188898804,92.39530053,3,Safe,277981000000,298,PharmaCorp,BATCH1557,218.52
Carboplatin,Fever,972,27.18857901,92.30722764,20.41844689,0.18729308,98.97525668,4,Safe,977040000000,173,BioCare,BATCH1882,216.27
Oxaliplatin,Mental Health,835,23.41843454,93.58640755,18.07351056,1.072404034,93.94595006,3,Safe,370135000000,162,HealthPlus,BATCH5761,70.39
Gemcitabine,Acidity,953,16.3973431,98.93138137,6.734228196,0.463140879,95.13116861,3,Safe,321463000000,255,CureWell,BATCH6867,207.48
Capecitabine,Acidity,819,16.92284753,97.66222417,21.93621786,0.499358196,93.17672908,2,Safe,511009000000,159,BioCare,BATCH7963,468.18
5-Fluorouracil,Diabetes,913,20.77682264,90.81843103,15.0659298,0.658176277,98.80687093,4,Safe,746841000000,178,CureWell,BATCH8166,220.65
Methadone,Fever,1064,20.8830292,87.41631304,17.93894935,0.614926165,95.95487817,3,Safe,831017000000,136,MediLife,BATCH8929,424.12
Buprenorphine,Cancer,1025,19.3954137,96.67274687,11.91351475,0.954049187,95.6192384,1,Safe,254373000000,121,BioCare,BATCH6347,429.05
Ketamine,Throat Infection,945,29.19996995,89.13957858,7.756473825,0.94575187,99.22820048,3,Safe,785472000000,295,MediLife,BATCH8269,217.96
Lidocaine,Seizures,798,15.7149309,92.68211651,11.35994334,1.427514648,93.89338662,4,Safe,901848000000,247,BioCare,BATCH9125,334.39
Bupivacaine,Fever,1023,20.17864424,87.96085868,14.8644955,0.209708355,98.00802411,3,Safe,468854000000,195,BioCare,BATCH3454,92.92
Propranolol,Bacterial Infection,1014,23.29485862,99.64668548,24.19933484,1.047201869,95.52725813,4,Safe,381854000000,167,MediLife,BATCH5494,96.66
Enalapril,Allergy,918,25.6795098,90.82531157,8.226869025,1.293014256,95.36675774,4,Safe,290248000000,291,HealthPlus,BATCH2946,71.9
Ramipril,Respiratory Infection,1087,29.60806394,92.06626687,8.51980484,0.108695503,95.64148865,3,Safe,890727000000,116,PharmaCorp,BATCH3808,311.46
Perindopril,Cholesterol,882,17.35135491,94.50063313,21.74265993,0.624317505,93.1008355,2,Safe,673191000000,111,CureWell,BATCH7642,241.73
Telmisartan,Blood Clot Prevention,1069,16.1432442,95.71151053,17.90193085,1.19969928,95.88561106,4,Safe,216902000000,249,BioCare,BATCH4825,296.61
Valsartan,Acidity,1026,18.30373675,89.23922871,11.28454952,0.313565801,92.44787928,4,Safe,286472000000,244,CureWell,BATCH4536,284.48
Olmesartan,Mental Health,1034,18.23617097,99.63365011,5.310037713,1.140498867,98.68460197,4,Safe,228348000000,237,MediLife,BATCH7068,207.59
Candersartan,Skin Infection,988,29.59536232,98.88939905,13.08942304,0.384874495,96.82736376,4,Safe,419221000000,217,CureWell,BATCH4802,354.86
Spironolactone,Blood Clot Prevention,1047,23.26249651,97.38978811,14.67468042,0.260095029,99.74565805,4,Safe,492372000000,292,MediLife,BATCH5699,391.33
Eplerenone,Fever,845,28.20325554,89.49026856,13.31412461,1.477394506,99.89212883,4,Safe,618178000000,121,CureWell,BATCH2970,56.58
Drug_103,Acidity,800,29.24515878,90.05136118,11.03618616,1.245054729,92.14520937,1,Safe,911751000000,219,PharmaCorp,BATCH6806,143.26
Drug_104,Cancer,1044,25.0877368,85.74432294,8.641475201,0.180678259,95.07067578,3,Safe,595436000000,149,PharmaCorp,BATCH7142,370.96
Drug_105,Diabetes,981,24.91524361,93.81462911,24.80685063,1.226244507,96.24296096,1,Safe,538794000000,113,PharmaCorp,BATCH3819,223.98
Drug_106,Thyroid,786,20.94763584,93.65326439,22.57668924,0.644662919,98.93961691,3,Safe,956992000000,291,PharmaCorp,BATCH1364,348.12
Drug_107,Acidity,930,18.07574113,87.44607793,10.23971767,1.39716785,99.33682124,2,Safe,686198000000,274,PharmaCorp,BATCH5258,206.13
Drug_108,Inflammation,910,26.80834039,97.94192377,8.013476229,0.27853095,96.25247395,3,Safe,807349000000,128,PharmaCorp,BATCH4119,225.84
Drug_109,Seizures,919,27.44170951,94.82974943,21.53223553,1.109700959,95.70943093,2,Safe,315905000000,263,MediLife,BATCH2863,121.41
Drug_110,Heart Health,944,26.74955777,95.38443228,5.505366846,0.534164371,93.52677039,2,Safe,835488000000,279,BioCare,BATCH1115,166.2
Drug_111,Thyroid,816,17.81426292,88.81530155,6.169044191,1.381381369,99.89345609,4,Safe,985486000000,224,CureWell,BATCH8084,322.44
Drug_112,Inflammation,997,25.32547711,91.81622948,19.14181395,0.267030561,97.19361041,4,Safe,603451000000,106,PharmaCorp,BATCH9016,244.92
Drug_113,Inflammation,749,22.35014052,92.21006418,15.36553581,0.912667086,96.21481262,2,Safe,510419000000,128,MediLife,BATCH3384,398.44
Drug_114,Respiratory Infection,841,28.66662341,88.31670681,19.8330634,1.11412442,95.59880846,3,Safe,581315000000,238,MediLife,BATCH4935,433.66
Drug_115,Bacterial Infection,764,22.72484309,92.137885,14.28730355,1.347987961,98.5345324,1,Safe,320104000000,132,MediLife,BATCH8742,293.74
Drug_116,Pain Relief,1034,24.52321665,89.01149163,15.74796184,0.285427421,94.61322539,2,Safe,657110000000,233,BioCare,BATCH6442,391.22
Drug_117,Heart Health,991,28.81437924,87.80901152,7.627384858,0.692986539,94.73396574,1,Safe,581672000000,210,CureWell,BATCH3490,188.11
Drug_118,Blood Clot Prevention,944,27.90985056,98.75339613,6.822714338,1.019163134,98.60266917,3,Safe,585322000000,178,BioCare,BATCH7980,236.74
Drug_119,Inflammation,1022,27.26911994,94.96931546,12.58912786,1.261762074,96.72693926,2,Safe,444743000000,259,HealthPlus,BATCH8661,370.75
Drug_120,Mental Health,912,29.227639,97.9030962,17.21042896,0.607883609,98.44460575,2,Safe,585231000000,278,MediLife,BATCH2724,223.8
Drug_121,Fever,799,19.50591031,91.46016137,7.731355789,0.587291598,92.71130352,2,Safe,655816000000,157,HealthPlus,BATCH9182,314.83
Drug_122,Mental Health,773,29.81842116,89.83458253,11.42095526,0.368535069,95.22352697,2,Safe,327775000000,125,PharmaCorp,BATCH3767,133.42
Drug_123,Allergy,949,21.10588195,97.18502854,6.60286921,1.113908342,92.44729991,1,Safe,729989000000,273,PharmaCorp,BATCH2137,319.9
Drug_124,Thyroid,1016,19.96134413,95.99705381,24.99490876,0.314361579,99.54407264,4,Safe,656331000000,128,BioCare,BATCH5117,437.68
Drug_125,Mental Health,1059,25.09857521,96.78623996,5.979264521,0.421090109,96.04659625,3,Safe,836363000000,103,CureWell,BATCH4420,440.89
Drug_126,Mental Health,929,29.31156257,92.79364188,11.08999713,0.179982436,93.47929586,1,Safe,785274000000,198,HealthPlus,BATCH6845,375.95
Drug_127,Inflammation,868,25.44581457,87.18408066,20.35192091,0.548154732,98.31921322,3,Safe,785445000000,240,CureWell,BATCH5778,385.59
Drug_128,Mental Health,775,20.3158263,89.11444172,23.16357717,1.290346209,99.84298926,3,Safe,388110000000,138,BioCare,BATCH4906,301.07
Drug_129,Fever,931,18.83511833,98.72796985,19.47188499,0.430018597,95.80398453,3,Safe,969171000000,114,PharmaCorp,BATCH4637,313.1
Drug_130,Skin Infection,749,19.97056732,96.98980296,5.994361173,0.726912095,94.04312946,4,Safe,625026000000,218,CureWell,BATCH3953,110.14
Drug_131,Fever,1000,28.69536707,89.34863189,12.58829432,0.467782193,99.47368727,3,Safe,200804000000,128,CureWell,BATCH6929,249.74
Drug_132,Cancer,1016,21.37489416,97.98704607,5.307029231,0.953089831,99.94833539,3,Safe,598145000000,256,PharmaCorp,BATCH1276,252.85
Drug_133,Autoimmune Disorder,730,16.99236615,98.32610813,13.29431265,0.334431332,92.84442792,3,Safe,947821000000,174,HealthPlus,BATCH2999,481.32
Drug_134,Thyroid,770,22.03268,96.03831235,10.49588467,0.575990952,95.65274289,4,Safe,696212000000,215,PharmaCorp,BATCH2227,243.99
Drug_135,Respiratory Infection,883,25.90168841,86.64581518,8.770181089,0.941188254,98.93056308,4,Safe,512964000000,131,CureWell,BATCH7337,297.2
Drug_136,Pain Relief,931,23.93517192,95.39292487,18.03975506,1.203412188,95.68024667,1,Safe,630464000000,229,HealthPlus,BATCH4735,289.96
Drug_137,Fever,809,21.63120237,99.90941658,13.68130967,0.498517738,93.82572019,2,Safe,399341000000,274,HealthPlus,BATCH1695,336.54
Drug_138,Diabetes,817,27.77299122,87.24500754,9.724718039,0.823722539,96.39871211,2,Safe,498824000000,183,PharmaCorp,BATCH5152,386.7
Drug_139,Respiratory Infection,1058,26.49706112,99.63331994,6.040290151,0.302127308,92.36298762,2,Safe,732760000000,121,CureWell,BATCH8901,151.27
Drug_140,Throat Infection,922,26.14418114,89.49015118,24.47496397,0.692447801,95.62886732,2,Safe,899810000000,126,BioCare,BATCH8470,287.93
Drug_141,Mental Health,822,24.05263349,96.04117667,5.151198731,1.071894382,92.06456893,1,Safe,730120000000,294,CureWell,BATCH8537,421.66
Drug_142,Bacterial Infection,984,17.78274222,93.69512948,14.07758886,1.208488116,97.10207812,1,Safe,936700000000,180,MediLife,BATCH3841,258.4
Drug_143,Inflammation,844,28.55456572,85.54889978,5.215659154,0.688569662,98.09457296,1,Safe,728563000000,225,BioCare,BATCH5208,175.31
Drug_144,Respiratory Infection,857,27.02798609,89.37917201,6.098214909,1.102774949,96.51097884,4,Safe,508435000000,283,HealthPlus,BATCH9733,344.62
Drug_145,Thyroid,1006,17.65799531,91.96860916,15.35632748,1.239923216,92.88423442,1,Safe,323083000000,191,BioCare,BATCH2088,420.7
Drug_146,Seizures,948,23.15380641,86.51025528,20.99022648,1.036221846,95.05237361,3,Safe,788902000000,120,HealthPlus,BATCH4363,78.41
Drug_147,Seizures,865,16.36163358,92.83115174,23.72038892,0.146814018,92.73720751,3,Safe,647685000000,146,HealthPlus,BATCH1024,399.56
Drug_148,Heart Health,980,21.53587112,98.6551575,20.35203939,0.124652293,97.82460002,2,Safe,451490000000,200,BioCare,BATCH7144,419.74
Drug_149,Cholesterol,1014,24.58413624,94.89689828,11.80352661,1.328743998,97.55441706,1,Safe,652658000000,286,HealthPlus,BATCH6668,257.69
Drug_150,Throat Infection,895,16.73558027,90.15646047,8.085490177,0.499183027,99.09187915,2,Safe,746571000000,183,HealthPlus,BATCH5236,492.49
Drug_151,Seizures,928,21.34246362,97.39470899,16.78004596,1.150064116,95.70430573,2,Safe,521888000000,105,MediLife,BATCH9068,404.02
Drug_152,Bacterial Infection,1043,28.02606432,97.16257548,18.49604936,0.687652396,92.91302936,1,Safe,486470000000,246,CureWell,BATCH3235,398.15
Drug_153,Autoimmune Disorder,1084,27.55395337,93.28893018,22.86779219,0.695197441,96.21543154,1,Safe,354523000000,284,CureWell,BATCH8295,386.53
Drug_154,Infection,859,27.31609426,88.25549531,21.98691457,1.230228826,95.12404841,4,Safe,108574000000,296,MediLife,BATCH9392,117.77
Drug_155,Skin Infection,1087,15.45813787,88.50443304,22.52236611,0.158358844,92.09525599,1,Safe,306010000000,230,BioCare,BATCH9448,147.75
Drug_156,Bacterial Infection,1074,16.26956513,92.86730165,9.194850213,0.945012408,94.84315777,4,Safe,699398000000,100,PharmaCorp,BATCH4747,258.8
Drug_157,Diabetes,884,19.18639789,94.43566708,16.627613,1.171061283,95.57619766,3,Safe,258410000000,157,PharmaCorp,BATCH4175,168.8
Drug_158,Respiratory Infection,1067,19.5475729,93.27058675,23.15911156,1.095375485,95.49427681,4,Safe,135557000000,223,PharmaCorp,BATCH5897,236.86
Drug_159,Cholesterol,1053,28.24955892,87.84455486,12.13092717,1.267273427,93.21298839,2,Safe,523915000000,265,MediLife,BATCH6037,449.81
Drug_160,Throat Infection,872,27.03916467,99.74541765,17.8132079,0.574129045,99.36139768,1,Safe,305500000000,114,MediLife,BATCH8427,420.95
Drug_161,Inflammation,853,22.73018822,85.8871812,15.4784734,1.475839345,99.68993299,1,Safe,662024000000,261,HealthPlus,BATCH9605,333.52
Drug_162,Heart Health,859,26.57841854,99.77008843,6.385626462,0.568221348,95.22811626,2,Safe,750277000000,288,PharmaCorp,BATCH3014,436.15
Drug_163,Allergy,886,23.41116444,96.03850556,12.93135282,0.439731443,92.57482919,3,Safe,614914000000,262,BioCare,BATCH2381,402.7
Drug_164,Pain Relief,968,21.31063008,94.06019741,18.06213123,0.4458725,93.97549205,4,Safe,752195000000,163,BioCare,BATCH2098,243.04
Drug_165,Cholesterol,867,16.26554014,90.85116995,17.29671254,0.978434547,93.52221228,3,Safe,421846000000,124,PharmaCorp,BATCH4426,140.48
Drug_166,Fever,845,24.91655463,93.48907373,23.78802589,0.402474874,97.56784805,4,Safe,958072000000,123,PharmaCorp,BATCH4655,281.39
Drug_167,Seizures,733,20.08933,89.41090879,7.445229058,0.278298016,95.19204374,1,Safe,811543000000,111,PharmaCorp,BATCH8938,381.3
Drug_168,Cancer,1095,24.08797069,91.14587667,10.44396846,0.915741373,96.97235862,3,Safe,458976000000,117,MediLife,BATCH1187,246.39
Drug_169,Acidity,774,15.93296494,96.05905824,7.513837421,0.545066065,92.80893226,3,Safe,525089000000,114,MediLife,BATCH6409,350.05
Drug_170,Cancer,984,16.0362634,91.48304779,16.66321059,0.294491355,95.44577704,3,Safe,496356000000,126,MediLife,BATCH3092,92.45
Drug_171,Infection,894,24.32591129,98.17991114,23.11914649,1.382645002,98.99724047,3,Safe,646772000000,171,CureWell,BATCH3130,386.6
Drug_172,Blood Clot Prevention,966,24.52654044,97.01042491,24.43888965,0.685814955,95.66803191,3,Safe,449978000000,159,BioCare,BATCH6242,415.72
Drug_173,Throat Infection,984,19.62613836,91.42771407,24.73365463,0.433350872,94.07375309,1,Safe,329559000000,273,BioCare,BATCH9549,368.08
Drug_174,Bacterial Infection,1022,27.35517869,86.53333814,15.83169913,1.015362789,94.36631602,4,Safe,993329000000,244,HealthPlus,BATCH6647,485.27
Drug_175,Acidity,830,20.50992301,99.37258231,20.39278468,0.197786022,97.51151589,1,Safe,822310000000,192,MediLife,BATCH6185,421.99
Drug_176,Infection,1041,18.97525861,94.69250086,18.08476293,1.182403665,98.88640045,1,Safe,787272000000,152,CureWell,BATCH6776,456.39
Drug_177,Fever,1025,21.60620944,89.63086096,19.00830558,1.085054096,92.03466797,3,Safe,239560000000,107,CureWell,BATCH8913,470.11
Drug_178,Allergy,935,17.14363128,93.40449494,9.794040318,0.646209054,93.5506197,3,Safe,186667000000,178,BioCare,BATCH8547,410.61
Drug_179,Mental Health,795,19.47855652,98.85835615,8.835806455,0.653186536,95.03591793,1,Safe,732934000000,126,MediLife,BATCH8823,353.42
Drug_180,Throat Infection,805,23.60104373,90.4846087,21.83960007,0.943607807,95.69009352,2,Safe,648657000000,273,HealthPlus,BATCH8355,52.57
Drug_181,Respiratory Infection,972,23.09989688,97.86310408,9.104953624,0.182682007,98.61869642,1,Safe,678622000000,149,MediLife,BATCH7465,259.62
Drug_182,Respiratory Infection,1014,27.35820616,89.34968853,14.43694593,1.218313965,97.93585637,3,Safe,719798000000,298,PharmaCorp,BATCH2497,307.02
Drug_183,Seizures,782,21.94672998,93.32928627,22.43206823,0.2803025,99.6812727,1,Safe,239769000000,230,MediLife,BATCH3555,186.81
